passer_player_id,passer_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,qbTier,tier,teamQBTier,ctotalEPA,ctotalEP,cCPOE,cactualization,cYPG,cTDperGame,intPerGame,cthirdConvert,EPA_rank,EP_rank,CPOE_rank,YPG_rank,TD_rank,actualization_rank,int_rank,third_rank,EPA_rank_num,EP_rank_num,CPOE_rank_num,YPG_rank_num,TD_rank_num,actualization_rank_num,int_rank_num,third_rank_num
00-0036879,S.Ehlinger,IND,IND,2022,QB,4,53,0.2208,8,8,8,-35,248.95,-3.468,0.591,143.2,1.25,0.75,0.243,0.1897,0.2241,0.2414,0.1207,0.3448,0.0862,0.5517,0.0877,48,46,45,52,39,54,37,53
00-0033275,P.Walker,CLE,CLE,2023,QB,5,53,0.1519,8,8,7,-40.22,237.62,-12.97,0.589,124.3,0.2,1,0.436,0.2037,0.1296,0,0.0556,0.0185,0.1481,0.7963,0.537,44,48,55,52,54,47,45,26
00-0034899,J.Wolford,LA,LA,2022,QB,2,54,0.2126,8,8,8,-17.69,176.63,-5.718,0.608,186.5,0.5,1.5,0.365,0.3793,0.1207,0.1207,0.3103,0.0517,0.1379,0.9655,0.3158,37,52,52,41,54,51,57,40
00-0038583,D.Thompson-Robinson,CLE,CLE,2023,QB,6,54,0.1426,8,8,7,-37.74,235.86,-11.655,0.54,76.7,0.17,0.67,0.388,0.2222,0.1111,0.0185,0,0,0.0185,0.4815,0.3148,43,49,54,55,55,54,28,38
00-0034955,B.Rypien,DEN,DEN,2022,QB,4,55,0.1833,8,8,8,-29.77,201.32,-3.655,0.545,111.3,0.75,1,0.37,0.2586,0.1897,0.2241,0.0517,0.1552,0.0345,0.7931,0.3333,44,48,46,56,50,57,53,39
00-0038108,B.Zappe,NE,NE,2023,QB,10,55,0.1176,8,8,8,-81.39,352.61,-4.428,0.574,121.9,0.87,0.9,0.293,0.0556,0.2037,0.1667,0.037,0.2037,0.1111,0.7778,0.0741,52,44,46,53,44,49,43,51
00-0037327,S.Thompson,MIA,MIA,2022,QB,7,56,0.1597,8,8,5,-43.84,196.69,-5.248,0.597,74.8,0.14,0.43,0.254,0.1034,0.1724,0.1552,0.0172,0.0172,0.1207,0.1207,0.1228,53,49,50,58,57,52,8,51
00-0038128,M.Willis,TEN,TEN,2022,QB,6,57,0.113,8,8,6,-45.72,130.47,-10.553,0.392,55.4,0.14,0.5,0.18,0.0862,0.0172,0.0172,0,0.0172,0,0.1552,0.0175,54,58,58,59,58,59,14,57
00-0035146,T.McSorley,ARI,ARI,2022,QB,5,58,0.0805,8,8,7,-43.53,140.16,-10.619,0.57,89.2,0,1,0.282,0.1207,0.069,0,0.0345,0,0.069,0.7931,0.1754,52,55,59,57,59,55,52,48
00-0035040,D.Blough,ARI,ARI,2022,QB,2,59,NA,8,8,7,-9.84,97.15,0.632,0.723,191.5,1,1,0,0.4655,0,0.6552,0.3621,0.2241,0.4138,0.7931,0,32,59,21,38,45,35,49,59
