receiver_player_id,receiver_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,wrTier,tier,totalEPA,totalTD,tgt_share,numYards,numRec,conversion,explosive_rate,avg_separation,avg_intended_air_yards,catch_percentage,yac_above_expected,third_down_rate,EPA_rank,td_rank,tgt_rank,YPG_rank,conversion_rank,explosive_rank,sep_rank,intended_air_rank,catch_rank,third_down_rank,yacOE_rank,EPA_rank_num,td_rank_num,tgt_rank_num,YPG_rank_num,conversion_rank_num,explosive_rank_num,sep_rank_num,intended_air_rank_num,catch_rank_num,third_down_rank_num,yacOE_rank_num
00-0028497,K.Aiken,BAL,BAL,2016,WR,NA,124,NA,8,8,9.2,1,NA,NA,NA,0.25,0.16,2.84,14.79,58.667,-1.5,0.381,0.4967741935483871,NA,NA,NA,0.564625850340136,0.4189189189189189,0.6903225806451613,0.8129032258064516,0.4967741935483871,0.38961038961038963,0.0967741935483871,79,128,128,128,64,87,49,30,79,94,141
00-0029608,T.Hilton,DAL,DAL,2022,WR,NA,124,NA,8,8,10.08,0,NA,NA,NA,NA,0.2,2.97,10.02,80,1.83,0.8,0.49664429530201343,NA,NA,NA,NA,0.5694444444444444,0.5704697986577181,0.40939597315436244,0.9395973154362416,0.9865771812080537,0.8657718120805369,76,124,124,124,144,63,65,89,6,3,21
00-0030578,C.Patterson,LV,LV,2017,WR,NA,124,NA,8,8,3.42,0,NA,NA,NA,0,0.095,2.3,6.2,75,0.17,0.462,0.3973509933774834,NA,NA,NA,0,0.09859154929577464,0.25165562913907286,0.0728476821192053,0.9337748344370861,0.7086092715231788,0.47019867549668876,92,128,128,128,135,129,114,141,11,44,81
00-0034686,A.Tate,CIN,CIN,2020,WR,9,125,0.2862,8,8,2.48,0,0.0587,150,14,0,0.182,2.43,5.67,100,1.57,0.333,0.21818181818181817,0,0.1476510067114094,0.1476510067114094,0,0.4050632911392405,0.19393939393939394,0.04242424242424243,0.9878787878787879,0.19393939393939394,0.8909090909090909,130,140,128,128,139,93,134,159,3,125,19
00-0034676,J.Washington,PIT,PIT,2021,WR,15,125,0.2772,8,8,-7.22,3,0.0695,285,24,0.125,0.136,2.3,13.51,60,0.23,0.091,0.08333333333333333,0.48322147651006714,0.22818791946308725,0.22818791946308725,0.34782608695652173,0.2611464968152866,0.125,0.7916666666666666,0.39880952380952384,0.05952380952380952,0.48214285714285715,155,77,116,116,106,117,148,36,98,159,88
00-0035414,J.Guyton,LAC,LAC,2023,WR,8,125,0.2121,8,8,-2.37,1,0.066,89,10,0.25,0.048,2.52,12.74,43.333,-0.17,0.25,0.2054794520547945,0.4142857142857143,0.22857142857142856,0.12142857142857143,0.5111111111111111,0.04285714285714286,0.23972602739726026,0.6986301369863014,0.07534246575342465,0.15172413793103448,0.2689655172413793,117,83,109,124,63,135,112,45,136,123,107
00-0030525,T.Austin,DAL,DAL,2019,WR,14,125,0.2094,8,8,4.46,1,0.0431,177,13,0,0.125,2.59,10.85,61.667,-0.68,0.5,0.3668639053254438,0.21052631578947367,0.09022556390977443,0.10526315789473684,0,0.20125786163522014,0.39644970414201186,0.46153846153846156,0.5384615384615384,0.6309523809523809,0.10179640718562874,108,105,122,120,124,128,103,92,79,52,151
00-0039810,J.Burton,CIN,CIN,2024,WR,14,125,0.1271,8,8,-4.54,0,0.0242,107,4,0,0.143,1.03,18.07,20,0.81,0.25,0.15789473684210525,0,0,0.061068702290076333,0,0.24475524475524477,0,0.9868421052631579,0.006578947368421052,0.11842105263157894,0.618421052631579,129,127,132,124,137,109,153,3,151,135,59
00-0031166,S.Roberts,LV,LV,2018,WR,NA,125,NA,8,8,24.73,2,NA,NA,NA,0.333,0.156,3.33,7.55,69.909,0.94,0.263,0.7625,NA,NA,NA,0.7019867549668874,0.3717948717948718,0.83125,0.15,0.75,0.1375,0.7547169811320755,39,127,127,127,43,99,28,137,41,139,40
00-0031854,C.Harper,SF,SF,2016,WR,NA,125,NA,8,8,8.17,0,NA,NA,NA,NA,0.19,2.52,8.81,20,-2.83,0.455,0.4838709677419355,NA,NA,NA,NA,0.6756756756756757,0.4129032258064516,0.23225806451612904,0.0064516129032258064,0.6428571428571429,0,81,129,129,129,153,49,92,120,155,56,156
00-0035544,T.Kennedy,DET,DET,2022,WR,NA,125,NA,8,8,7.93,0,NA,NA,NA,0,0.267,2.29,13.44,60,2,0.6,0.4563758389261745,NA,NA,NA,0,0.875,0.14093959731543623,0.8657718120805369,0.3691275167785235,0.9261744966442953,0.8926174496644296,82,125,125,125,127,19,129,21,93,11,17
00-0033562,R.Switzer,DAL,DAL,2017,WR,15,125,NA,8,8,3.16,0,0.0133,41,6,0,NA,3.03,4.93,80,-0.89,0.8,0.39072847682119205,0,0,0.008771929824561403,0,NA,0.8013245033112583,0.019867549668874173,0.9668874172185431,1,0.08609271523178808,93,114,115,114,130,145,31,149,6,1,139
