receiver_player_id,receiver_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,qbTier,tier,TE_tier,totalEPA,totalTD,tgt_share,numYards,numRec,conversion,explosive_rate,avg_separation,avg_intended_air_yards,catch_percentage,yac_above_expected,third_down_rate,EPA_rank,td_rank,tgt_rank,YPG_rank,conversion_rank,explosive_rank,sep_rank,intended_air_rank,catch_rank,third_down_rank,yacOE_rank,EPA_rank_num,td_rank_num,tgt_rank_num,YPG_rank_num,conversion_rank_num,explosive_rank_num,sep_rank_num,intended_air_rank_num,catch_rank_num,third_down_rank_num,yacOE_rank_num
00-0033885,D.Njoku,CLE,CLE,2023,TE,16,12,0.6944,3,3,3,-11.44,8,0.1928,882,81,0.15,0.179,3.32,5.8,63.49,2.2,0.297,0.03389830508474576,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.22807017543859648,0.7894736842105263,0.3559322033898305,0.4406779661016949,0.2711864406779661,0.17543859649122806,0.8983050847457628,58,3,5,5,45,13,39,34,44,48,7
00-0030181,J.Doyle,IND,IND,2017,TE,15,12,0.6821,3,3,3,2.5,5,0.2167,690,80,0.364,0.092,3.45,4.4,72.461,-0.43,0.462,0.3770491803278688,0.7735849056603774,0.9811320754716981,0.9056603773584906,0.7627118644067796,0.16666666666666666,0.819672131147541,0.04918032786885246,0.8360655737704918,0.6333333333333333,0.19672131147540983,39,13,2,6,14,51,12,59,11,23,50
00-0035229,T.Hockenson,DET,DET,2020,TE,16,12,0.679,3,3,3,9.89,6,0.1645,725,67,0.333,0.157,3.3,7.25,66.495,-0.14,0.423,0.5172413793103449,0.75,0.8571428571428571,0.8928571428571429,0.543859649122807,0.543859649122807,0.6206896551724138,0.46551724137931033,0.43103448275862066,0.43859649122807015,0.25862068965517243,29,14,9,7,22,27,23,32,34,33,44
00-0034829,M.Gesicki,MIA,MIA,2021,TE,17,12,0.658,3,3,3,18.96,2,0.1723,782,73,0.167,0.168,2.79,8.92,63.999,-0.68,0.464,0.796875,0.2631578947368421,0.8771929824561403,0.8245614035087719,0.3064516129032258,0.6166666666666667,0.140625,0.765625,0.5,0.6229508196721312,0.15625,14,43,8,11,43,24,56,16,33,24,55
00-0030061,Z.Ertz,WAS,WAS,2024,TE,17,12,0.653,3,3,3,30.98,7,0.1615,658,66,0.304,0.108,3.46,7.25,74.024,-0.19,0.476,0.8571428571428571,0.8653846153846154,0.7884615384615384,0.7115384615384616,0.6545454545454545,0.2777777777777778,0.39285714285714285,0.7321428571428571,0.48214285714285715,0.6111111111111112,0.25,9,8,12,16,20,40,35,16,30,21,43
00-0033885,D.Njoku,CLE,CLE,2018,TE,16,12,0.6477,3,3,3,3.53,4,0.1429,639,56,0.5,0.17,3.14,8.54,62.744,1.33,0.28,0.3684210526315789,0.5918367346938775,0.8367346938775511,0.7551020408163265,0.7678571428571429,0.5789473684210527,0.47368421052631576,0.6491228070175439,0.22807017543859648,0.26785714285714285,0.8421052631578947,37,21,9,13,9,25,31,21,45,42,10
00-0036040,J.Johnson,NO,NO,2022,TE,16,12,0.6463,3,3,3,15.77,7,0.1252,508,42,0.455,0.215,2.85,8.67,67.244,0.66,0.45,0.8153846153846154,0.9148936170212766,0.6595744680851063,0.5957446808510638,0.7258064516129032,0.819672131147541,0.15384615384615385,0.8307692307692308,0.5692307692307692,0.71875,0.7076923076923077,13,5,17,20,18,12,56,12,29,19,20
00-0031387,E.Ebron,IND,IND,2019,TE,11,12,0.6244,3,3,3,-2.88,3,0.1405,375,31,0.182,0.115,3.76,10.76,56.256,2.91,0.435,0.0967741935483871,0.6111111111111112,0.8148148148148148,0.7407407407407407,0.3103448275862069,0.19672131147540983,0.7741935483870968,0.9193548387096774,0.1774193548387097,0.5,0.9838709677419355,57,22,11,15,41,50,15,6,52,32,2
00-0029275,L.Green,PIT,PIT,2016,TE,6,13,0.7006,4,4,4,8.38,1,0.1613,304,18,0.143,0.229,3.2,11.92,50.126,-0.31,0.562,0.5,0.4583333333333333,0.7916666666666666,0.8125,0.1724137931034483,0.8571428571428571,0.75,0.9333333333333333,0.13333333333333333,0.7166666666666667,0.65,31,26,11,10,46,9,16,5,53,18,22
00-0031610,D.Waller,NYG,NYG,2023,TE,12,13,0.679,4,4,4,15.29,1,0.167,552,52,0.25,0.162,3,7.7,68.465,0.03,0.591,0.6949152542372882,0.2857142857142857,0.8392857142857143,0.8571428571428571,0.45614035087719296,0.5964912280701754,0.1694915254237288,0.7796610169491526,0.3728813559322034,0.9122807017543859,0.3898305084745763,19,39,10,9,27,24,50,14,38,6,37
