posteam,team,season,myRankNum,myRank,runOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
MIN,MIN,2023,29,0.4839,8,8,889.74,1563,7,0.416,0.0968,0.0968,0,0.3871
NYJ,NYJ,2022,29,0.4839,8,8,918.26,1696,13,0.391,0.1613,0.2258,0.2258,0.0323
TB,TB,2018,29,0.4516,8,8,917.59,1532,12,0.384,0.4516,0.0968,0.2581,0.0968
CHI,CHI,2020,29,0.4516,8,8,1032.49,1660,12,0.417,0.4839,0.2258,0.0968,0.129
MIA,MIA,2021,29,0.4194,8,8,1057.78,1579,12,0.403,0.3548,0.0645,0.1935,0.1613
LA,LA,2016,29,0.3871,8,8,770.26,1262,9,0.377,0.0645,0.0323,0.129,0.2258
NYG,NYG,2017,29,0.3871,8,8,787.44,1561,6,0.363,0.0968,0.1935,0.0645,0.129
PIT,PIT,2019,29,0.3548,8,8,869.81,1464,9,0.362,0.129,0.129,0.129,0.0968
DAL,DAL,2024,30,0.5484,8,8,1001.01,1716,6,0.429,0.2581,0.1613,0,0.3871
HOU,HOU,2023,30,0.4516,8,8,1098.27,1653,10,0.376,0.5161,0.2258,0.1935,0.0323
ATL,ATL,2020,30,0.4194,8,8,1067.91,1544,13,0.405,0.5161,0.1613,0.1935,0.0645
IND,IND,2022,30,0.3871,8,8,1105.57,1876,8,0.393,0.5806,0.2903,0.0323,0.0645
NYJ,NYJ,2018,30,0.3871,8,8,857.35,1632,11,0.347,0.3226,0.1935,0.1935,0
CHI,CHI,2019,30,0.3226,8,8,882.1,1464,8,0.373,0.2903,0.129,0.0645,0.129
DET,DET,2016,30,0.2581,8,8,803.2,1319,9,0.371,0.1935,0.0645,0.129,0.0645
DET,DET,2017,30,0.2581,8,8,840.78,1230,10,0.327,0.2258,0,0.2581,0
PIT,PIT,2021,30,0.2581,8,8,903.86,1596,10,0.403,0.0968,0.0968,0.0645,0.0968
NYJ,NYJ,2024,31,0.4839,8,8,818.03,1569,8,0.429,0,0.0323,0.0323,0.4194
MIA,MIA,2019,31,0.2903,8,8,790.1,1172,10,0.353,0.0323,0,0.2258,0.0645
MIN,MIN,2018,31,0.2903,8,8,847.58,1502,9,0.394,0.2581,0.0645,0.0968,0.129
NYJ,NYJ,2023,31,0.2581,8,8,810.26,1656,7,0.374,0.0323,0.2581,0,0
TB,TB,2022,31,0.2581,8,8,847.56,1321,5,0.416,0,0,0,0.2581
ARI,ARI,2017,31,0.2258,8,8,909.75,1400,6,0.342,0.4194,0.0968,0.0645,0.0645
NYG,NYG,2016,31,0.1935,8,8,728.08,1432,6,0.373,0.0323,0.0968,0,0.0968
ATL,ATL,2021,31,0.1613,8,8,930.09,1463,11,0.346,0.129,0.0323,0.129,0
PIT,PIT,2020,31,0.129,8,8,854.13,1374,12,0.403,0.0645,0,0.0968,0.0323
ARI,ARI,2018,32,0.1613,8,8,664.98,1352,9,0.362,0,0,0.0968,0.0645
LV,LV,2024,32,0.1613,8,8,901.48,1376,11,0.399,0.0968,0,0.129,0.0323
MIA,MIA,2017,32,0.1613,8,8,688.8,1397,4,0.348,0,0.0645,0,0.0968
MIN,MIN,2016,32,0.129,8,8,978.6,1224,9,0.36,0.6774,0,0.129,0
TB,TB,2023,32,0.129,8,8,926.41,1530,8,0.379,0.1613,0,0.0645,0.0645
HOU,HOU,2022,32,0.0968,8,8,888.68,1485,9,0.384,0.0968,0.0323,0.0645,0
JAX,JAX,2020,32,0.0968,8,8,754.33,1525,9,0.399,0,0.0968,0,0
NYJ,NYJ,2019,32,0.0645,8,8,721.29,1272,6,0.338,0,0.0323,0.0323,0
HOU,HOU,2021,32,0.0323,8,8,894.3,1428,8,0.385,0.0645,0,0,0.0323
