posteam,team,season,myRankNum,myRank,runOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
HOU,HOU,2019,7,2.1613,2,2,1013.44,2020,17,0.44,0.6774,0.7419,0.6129,0.8065
ARI,ARI,2023,8,2.3871000000000002,2,2,1051.19,2380,17,0.456,0.4516,0.9032,0.7097,0.7742
ATL,ATL,2024,8,2.2903,2,2,1314.08,2246,18,0.492,0.8387,0.7097,0.7097,0.871
SF,SF,2022,8,2.2258,2,2,1310.17,2378,21,0.448,0.9355,0.8065,0.871,0.5484
JAX,JAX,2017,8,2.1613,2,2,1134.94,2278,18,0.373,0.871,1,0.871,0.2903
ARI,ARI,2016,8,2.1613,2,2,1022.23,1739,21,0.436,0.7419,0.4516,0.9355,0.7742
ARI,ARI,2019,8,2.129,2,2,947.51,2007,18,0.434,0.4516,0.7097,0.7097,0.7097
ARI,ARI,2021,8,2.129,2,2,1252.85,2096,23,0.455,0.871,0.7097,0.9032,0.5161
GB,GB,2020,8,2.129,2,2,1116.43,2139,16,0.486,0.5806,0.7742,0.4516,0.9032
CHI,CHI,2018,8,1.9355,2,2,1054,1956,16,0.441,0.7742,0.6774,0.7097,0.5484
LA,LA,2023,9,2.3548,3,3,1263.95,2058,18,0.468,0.7419,0.6774,0.7742,0.9032
ARI,ARI,2024,9,2.2581,3,3,1184.95,2468,20,0.471,0.6129,0.8065,0.7742,0.6774
NE,NE,2016,9,2.129,3,3,1187.02,1892,19,0.41,0.9677,0.8065,0.871,0.4516
DAL,DAL,2022,9,2.0968,3,3,1250.94,2312,24,0.427,0.8065,0.7742,0.9677,0.3548
LA,LA,2020,9,2.0968,3,3,1175.12,2035,20,0.463,0.6774,0.7097,0.6774,0.7097
MIN,MIN,2017,9,2.0968,3,3,1204.18,1985,15,0.411,0.9677,0.8065,0.7097,0.5806
BUF,BUF,2019,9,2.0323,3,3,1041.47,2069,13,0.448,0.7097,0.7742,0.3871,0.871
KC,KC,2021,9,2.0323,3,3,1077.9,1977,16,0.517,0.4194,0.5161,0.5161,1
IND,IND,2018,9,1.9032,3,3,994.64,1745,14,0.51,0.6774,0.4194,0.5161,0.9677
SF,SF,2016,10,2.129,3,3,912.1,2031,16,0.42,0.4194,0.9032,0.6129,0.6129
PHI,PHI,2017,10,2.0645,3,3,1016.8,2137,10,0.448,0.7097,0.9355,0.2581,0.871
PHI,PHI,2020,10,2.0645,3,3,888.53,2037,17,0.472,0.1613,0.7419,0.5484,0.7742
TEN,TEN,2021,10,2.0323,3,3,1309.34,2421,23,0.426,0.9032,0.871,0.9032,0.2581
PHI,PHI,2019,10,1.9677,3,3,1086.73,1952,16,0.438,0.8065,0.6774,0.5161,0.7742
IND,IND,2024,10,1.9355,3,3,1288.76,2345,21,0.425,0.8065,0.7742,0.8065,0.3548
KC,KC,2018,10,1.9032,3,3,920.14,1869,16,0.444,0.4839,0.5161,0.7097,0.6774
KC,KC,2022,10,1.9032,3,3,1062.62,1985,18,0.481,0.4194,0.3871,0.7419,0.7742
IND,IND,2023,10,1.7097,3,3,1250.68,2074,19,0.405,0.7097,0.7097,0.8065,0.1935
GB,GB,2017,11,2,3,3,811.15,1732,13,0.489,0.1613,0.4839,0.5161,1
IND,IND,2020,11,2,3,3,1263.65,2016,21,0.451,0.8387,0.6774,0.8065,0.5161
GB,GB,2019,11,1.9355,3,3,910.71,1823,18,0.429,0.3226,0.5484,0.7097,0.6774
CAR,CAR,2016,11,1.871,3,3,1055.22,1819,16,0.42,0.8065,0.6774,0.6129,0.5806
PIT,PIT,2022,11,1.871,3,3,1192.28,2085,16,0.487,0.7097,0.5161,0.5484,0.8065
DAL,DAL,2018,11,1.8387,3,3,999.87,1981,13,0.447,0.7097,0.7097,0.4194,0.7097
SF,SF,2024,11,1.8387,3,3,1247.54,2171,17,0.447,0.7097,0.6452,0.6129,0.5806
DEN,DEN,2021,11,1.7419,3,3,1124.46,2031,18,0.459,0.5484,0.5806,0.6129,0.5484
PIT,PIT,2023,11,1.6774,3,3,1049.69,2037,16,0.427,0.4194,0.6129,0.6129,0.4516
KC,KC,2017,12,1.9032,3,3,882.1,1915,13,0.416,0.3548,0.7419,0.5161,0.6452
LV,LV,2020,12,1.871,3,3,1227.77,1926,20,0.459,0.7742,0.5806,0.6774,0.6129
CAR,CAR,2019,12,1.8387,3,3,921.31,1826,20,0.408,0.3871,0.5806,0.871,0.3871
CIN,CIN,2016,12,1.8387,3,3,994.36,1777,17,0.416,0.7097,0.6129,0.7097,0.5161
CAR,CAR,2022,12,1.8065,3,3,1116.49,2218,17,0.435,0.6129,0.7097,0.6774,0.4194
CAR,CAR,2024,12,1.8065,3,3,1018.05,1890,18,0.465,0.2903,0.4516,0.7097,0.6452
GB,GB,2018,12,1.7742,3,3,731.1,1675,14,0.494,0.0323,0.3226,0.5161,0.9355
WAS,WAS,2021,12,1.7097,3,3,1164.33,2074,13,0.483,0.6452,0.6452,0.2903,0.7742
DAL,DAL,2023,12,1.6774,3,3,1283.87,1942,14,0.441,0.8387,0.5806,0.4839,0.6129
BUF,BUF,2020,13,1.8387,4,4,989.98,1749,16,0.507,0.3548,0.3871,0.4516,1
MIN,MIN,2019,13,1.8387,4,4,1197.3,2146,19,0.394,0.9355,0.8065,0.8387,0.1935
BUF,BUF,2017,13,1.8065,4,4,998.76,2034,12,0.405,0.6774,0.8387,0.4516,0.5161
DET,DET,2022,13,1.8065,4,4,1289.44,2199,23,0.412,0.9032,0.6774,0.9355,0.1935
PIT,PIT,2016,13,1.8065,4,4,858.33,1776,13,0.437,0.2903,0.5806,0.4194,0.8065
TEN,TEN,2018,13,1.7419,4,4,1054.25,2032,15,0.413,0.8065,0.8065,0.5806,0.3548
GB,GB,2021,13,1.6774,4,4,1176.34,1922,13,0.515,0.6774,0.4516,0.2903,0.9355
NO,NO,2024,13,1.6452,4,4,1108.78,1963,15,0.464,0.4839,0.5806,0.4516,0.6129
ATL,ATL,2023,13,1.5161,4,4,1288.86,2168,14,0.411,0.871,0.7419,0.4839,0.2903
WAS,WAS,2016,14,1.8065,4,4,941.29,1709,17,0.429,0.5484,0.3548,0.7097,0.7419
CLE,CLE,2019,14,1.8065,4,4,923.77,1907,16,0.426,0.4194,0.6452,0.5161,0.6452
CAR,CAR,2020,14,1.7419,4,4,1131.19,1715,19,0.467,0.6452,0.3548,0.6452,0.7419
ATL,ATL,2017,14,1.7419,4,4,1038.34,1857,13,0.413,0.7742,0.6129,0.5161,0.6129
LAC,LAC,2018,14,1.6774,4,4,953.95,1889,16,0.422,0.5484,0.5484,0.7097,0.4194
SEA,SEA,2021,14,1.6774,4,4,964.62,2081,18,0.437,0.2258,0.6774,0.6129,0.3871
JAX,JAX,2022,14,1.6452,4,4,1151.72,2131,16,0.447,0.6452,0.5806,0.5484,0.5161
KC,KC,2024,14,1.5161,4,4,1101.59,1822,15,0.472,0.4516,0.3548,0.4516,0.7097
CLE,CLE,2023,14,1.5161,4,4,1165.83,2038,15,0.412,0.6452,0.6452,0.5484,0.3226
KC,KC,2019,15,1.7419,4,4,882.08,1585,17,0.44,0.2581,0.2903,0.6129,0.8387
SEA,SEA,2020,15,1.7097,4,4,997.86,1988,15,0.462,0.3871,0.6452,0.3871,0.6774
KC,KC,2016,15,1.6774,4,4,933.03,1768,15,0.418,0.4839,0.5484,0.5806,0.5484
LAC,LAC,2021,15,1.6452,4,4,1194.7,1851,18,0.472,0.7419,0.3548,0.6129,0.6774
CLE,CLE,2017,15,1.6129,4,4,845.38,1719,11,0.429,0.2581,0.4194,0.3548,0.8387
GB,GB,2022,15,1.5806,4,4,1083.99,2130,12,0.494,0.5484,0.5484,0.129,0.9032
