posteam,team,season,myRankNum,myRank,passOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
MIN,MIN,2019,20,1.2903,5,5,944.78,3525,26,0.467,0.0968,0.2903,0.4194,0.5806
MIN,MIN,2016,20,1.2903,5,5,1304.58,3836,20,0.467,0.8387,0.4516,0.1935,0.6452
DEN,DEN,2023,20,1.2581,5,5,1108.96,3266,29,0.426,0.3226,0.2581,0.6452,0.3548
NYG,NYG,2018,20,1.2581,5,5,1147.97,4053,24,0.423,0.4839,0.6774,0.3226,0.2581
NYG,NYG,2017,20,1.1935,5,5,1093.67,3479,21,0.43,0.5161,0.4194,0.2258,0.5484
PHI,PHI,2024,20,1.1613,5,5,1016.35,3194,24,0.458,0.0323,0.0968,0.5484,0.5161
PIT,PIT,2021,20,1.0645,5,5,1388.32,3782,24,0.405,0.7742,0.5484,0.4194,0.0968
CLE,CLE,2022,20,0.871,5,5,1086.01,3444,19,0.434,0.3226,0.3226,0.1613,0.3871
MIA,MIA,2020,21,1.2581,6,6,1210.13,3742,25,0.483,0.4839,0.3871,0.2903,0.5806
CLE,CLE,2023,21,1.1613,6,6,1130.32,3695,29,0.379,0.3871,0.4194,0.6452,0.0968
JAX,JAX,2016,21,1.1613,6,6,1204.26,3730,27,0.425,0.6129,0.3871,0.5484,0.2258
ARI,ARI,2017,21,1.129,6,6,1197.35,3642,25,0.404,0.8387,0.5484,0.4516,0.129
LV,LV,2024,21,1.129,6,6,1393.47,3799,21,0.428,0.9032,0.6129,0.1613,0.3548
DET,DET,2018,21,1.0968,6,6,1198.36,3576,24,0.437,0.6129,0.3871,0.3226,0.3871
IND,IND,2021,21,1.0323,6,6,1215.56,3365,28,0.434,0.5484,0.1935,0.5806,0.2581
JAX,JAX,2019,21,0.9677,6,6,1104.36,3768,26,0.39,0.4194,0.5161,0.4194,0.0323
HOU,HOU,2022,21,0.8065,6,6,1141.19,3346,26,0.387,0.4516,0.2258,0.4839,0.0968
LV,LV,2023,22,1.1613,6,6,1235.97,3382,21,0.452,0.6452,0.2903,0.2258,0.6452
TEN,TEN,2024,22,1.129,6,6,1046.74,3321,26,0.424,0.1613,0.1935,0.6452,0.2903
CHI,CHI,2020,22,1.0968,6,6,1374.56,3657,28,0.46,0.871,0.3226,0.4194,0.3548
CIN,CIN,2018,22,1.0645,6,6,1127.39,3292,28,0.436,0.4516,0.2581,0.4516,0.3548
BAL,BAL,2016,22,1.0323,6,6,1228.41,4106,20,0.42,0.6774,0.6452,0.1935,0.1935
GB,GB,2017,22,1,6,6,1131.8,3169,27,0.408,0.6452,0.2258,0.6129,0.1613
NO,NO,2021,22,0.9355,6,6,1060.91,3186,32,0.433,0.129,0,0.7097,0.2258
CAR,CAR,2019,22,0.871,6,6,1368.2,3650,18,0.436,0.9355,0.3871,0.0323,0.4516
ARI,ARI,2022,22,0.8065,6,6,1240.89,3632,19,0.41,0.7419,0.4516,0.1613,0.1935
KC,KC,2016,23,1,6,6,1201.47,3744,20,0.444,0.5806,0.4194,0.1935,0.3871
ATL,ATL,2023,23,0.9355,6,6,1042.99,3528,18,0.439,0.1613,0.3226,0.1613,0.4516
JAX,JAX,2020,23,0.9355,6,6,1231.8,3703,25,0.453,0.5806,0.3548,0.2903,0.2903
CLE,CLE,2021,23,0.9355,6,6,1059.65,3324,22,0.45,0.0968,0.1613,0.2581,0.5161
NO,NO,2024,23,0.9355,6,6,1168.25,3490,24,0.391,0.3871,0.2903,0.5484,0.0968
DAL,DAL,2018,23,0.9032,6,6,1118.58,3538,23,0.434,0.3548,0.2903,0.2903,0.3226
CIN,CIN,2017,23,0.9032,6,6,919.85,3122,26,0.413,0.0968,0.1613,0.5161,0.2258
CIN,CIN,2019,23,0.8387,6,6,1234.2,3654,23,0.411,0.7097,0.4194,0.2258,0.1935
PIT,PIT,2022,23,0.7742,6,6,1168.06,3417,13,0.449,0.5161,0.2581,0,0.5161
DEN,DEN,2016,24,0.9677,6,6,1060.58,3687,21,0.434,0.2258,0.3226,0.3226,0.3226
PIT,PIT,2024,24,0.9032,6,6,1021.63,3264,23,0.43,0.0645,0.1613,0.3548,0.3871
DEN,DEN,2021,24,0.871,6,6,1072.04,3595,21,0.436,0.1935,0.4194,0.1613,0.2903
IND,IND,2023,24,0.871,6,6,1088.38,3674,19,0.415,0.2581,0.3871,0.1935,0.2903
TEN,TEN,2017,24,0.8387,6,6,939.58,3191,17,0.43,0.1613,0.2903,0.0645,0.4839
CLE,CLE,2019,24,0.8387,6,6,1102.72,3554,23,0.424,0.3871,0.3226,0.2258,0.2903
BAL,BAL,2018,24,0.8065,6,6,1166.87,3559,19,0.438,0.5484,0.3226,0.0645,0.4194
