posteam,team,season,myRankNum,myRank,passOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
HOU,HOU,2016,31,0.2258,8,8,1166.52,3179,16,0.418,0.4516,0.0968,0,0.129
NYJ,NYJ,2019,31,0.2258,8,8,982.3,3117,21,0.39,0.129,0.0968,0.129,0
CHI,CHI,2024,31,0.1935,8,8,1200.33,3092,20,0.386,0.4516,0.0323,0.0968,0.0645
NYG,NYG,2020,31,0.1935,8,8,1066.59,3030,13,0.404,0.129,0.0968,0,0.0968
CAR,CAR,2021,31,0.129,8,8,1166.73,3245,16,0.383,0.4194,0.0968,0.0323,0
NYG,NYG,2023,31,0.129,8,8,951.26,2886,17,0.355,0.0645,0.0323,0.0968,0
ARI,ARI,2018,31,0.0968,8,8,915.73,2525,19,0.358,0.0968,0,0.0645,0.0323
CAR,CAR,2022,32,0.2903,8,8,877.14,2996,18,0.377,0.0968,0.0968,0.129,0.0645
LA,LA,2016,32,0.2258,8,8,884.44,2951,20,0.358,0.0645,0.0323,0.1935,0
NYJ,NYJ,2020,32,0.1935,8,8,920.33,2798,19,0.39,0.0645,0.0323,0.129,0.0323
NYG,NYG,2024,32,0.1613,8,8,1206.64,3230,19,0.383,0.4839,0.129,0,0.0323
NYG,NYG,2021,32,0.129,8,8,1123.64,3198,18,0.383,0.2903,0.0323,0.0645,0.0323
PIT,PIT,2019,32,0.129,8,8,891.24,2981,18,0.39,0.0323,0.0323,0.0323,0.0645
BUF,BUF,2018,32,0.0968,8,8,931.67,2766,19,0.338,0.129,0.0323,0.0645,0
NYJ,NYJ,2023,32,0.0968,8,8,1080.77,2921,13,0.358,0.2258,0.0645,0,0.0323
CHI,CHI,2017,32,0.0645,8,8,813.33,2811,14,0.391,0,0.0323,0,0.0323
