receiver_player_id,player,posteam,season,numGames,tgt_share,numYards,numTD,numRec,wr_rank,playerYear,passOffenseTier,qbTier,runOffenseTier,player_name,position,points,NY_posteam,NY_numGames,NY_tgtShare,NY_seasonYards,NY_wr_rank,NY_playerYear,NY_passOffenseTier,NY_qbTier,NY_points,receiver_player_name,epaTier,NY_passFreqTier
00-0033555,Mack Hollins,BUF,2024,17,0.0936329588,378,5,31,5,7,2,1,2,M.Hollins,WR,120.2,NE,16,0.1236494598,,5,8,7,6,,M.Hollins,2,6
00-0033589,David Moore,CAR,2024,17,0.09743589744,351,3,32,4,6,7,8,3,D.Moore,WR,85.1,CAR,16,0.1542857143,,6,8,7,6,,D.Moore,8,5
00-0033591,Noah Brown,WAS,2024,11,0.1546961326,453,1,35,3,7,3,2,1,N.Brown,WR,86.3,WAS,16,0.1801432958,,4,8,2,2,,N.Brown,7,6
00-0033699,Austin Ekeler,WAS,2024,12,0.1040609137,366,0,35,5,8,3,2,1,A.Ekeler,RB,159.6,WAS,16,0.1082578046,,6,9,2,2,,A.Ekeler,4,6
00-0033857,JuJu Smith-Schuster,KC,2024,14,0.0510805501,231,2,18,9,8,3,3,4,J.Smith-Schuster,WR,64.7,KC,16,0.1010901883,,8,9,2,1,,J.Smith-Schuster,NA,3
00-0033858,Jonnu Smith,MIA,2024,17,0.1748031496,884,8,88,2,8,4,5,7,J.Smith,TE,222.3,PIT,16,0.2063101365,,3,9,6,8,,J.Smith,1,7
00-0033881,Evan Engram,JAX,2024,9,0.2350877193,367,1,47,2,8,7,7,7,E.Engram,TE,89.5,DEN,16,0.2482174688,,2,9,3,3,,E.Engram,8,4
00-0033885,David Njoku,CLE,2024,11,0.2004048583,509,5,64,2,8,8,7,7,D.Njoku,TE,148.5,CLE,16,0.225711275,,2,9,8,8,,D.Njoku,8,5
00-0033891,Zay Jones,ARI,2024,11,0.02813299233,84,0,8,8,8,5,4,3,Z.Jones,WR,16.4,ARI,16,0.08229426434,,6,9,5,3,,Z.Jones,NA,6
00-0033897,Joe Mixon,HOU,2024,14,0.1052631579,309,1,36,5,8,7,8,6,J.Mixon,RB,275.4,HOU,16,0.1098517049,,6,9,6,5,,J.Mixon,8,3
00-0033906,Alvin Kamara,NO,2024,14,0.1877637131,543,2,68,3,8,6,6,4,A.Kamara,RB,265.3,NO,16,0.1932899821,,3,9,7,8,,A.Kamara,8,5
00-0033908,Cooper Kupp,LA,2024,12,0.2421307506,710,6,67,2,8,3,7,4,C.Kupp,WR,190,SEA,16,0.2965952081,,2,9,5,4,,C.Kupp,8,2
00-0033921,Chris Godwin,TB,2024,7,0.2412451362,585,5,50,1,8,1,2,2,C.Godwin,WR,137.8,TB,16,0.2466101695,,2,9,3,2,,C.Godwin,1,3
00-0034159,Will Dissly,LAC,2024,15,0.132505176,481,2,50,4,7,5,5,5,W.Dissly,TE,113.7,LAC,16,0.1694915254,,4,8,4,4,,W.Dissly,6,7
00-0034270,Tyler Conklin,NYJ,2024,16,0.1175523349,451,4,51,5,7,4,6,8,T.Conklin,TE,121.9,LAC,16,0.1418277104,,6,8,8,7,,T.Conklin,8,7
00-0034272,Marquez Valdes-Scantling,NO,2024,8,0.1254480287,385,4,17,4,7,6,6,4,M.Valdes-Scantling,WR,84.5,SEA,16,0.1607418856,,4,8,7,8,,M.Valdes-Scantling,4,2
00-0034348,Courtland Sutton,DEN,2024,17,0.2272727273,1081,8,81,1,7,4,4,5,C.Sutton,WR,252.8,DEN,16,0.2505661931,,1,8,3,3,,C.Sutton,5,4
00-0034351,Dallas Goedert,PHI,2024,10,0.1656050955,496,2,42,3,7,5,3,1,D.Goedert,TE,149.4,PHI,16,0.1911764706,,3,8,4,3,,D.Goedert,4,8
00-0034364,Jordan Akins,CLE,2024,17,0.07901907357,390,3,40,5,7,8,7,7,J.Akins,TE,91,CLE,16,0.11484375,,7,8,8,8,,J.Akins,7,5
00-0034383,Dalton Schultz,HOU,2024,17,0.1364365971,532,2,53,4,7,7,8,6,D.Schultz,TE,132.8,HOU,16,0.1531446541,,5,8,6,5,,D.Schultz,8,3
00-0034407,Ray-Ray McCloud,ATL,2024,17,0.1477079796,686,1,62,3,6,3,7,2,R.McCloud,WR,142.5,ATL,16,0.1661979753,,3,7,3,5,,R.McCloud,8,4
00-0034521,Allen Lazard,NYJ,2024,12,0.1276150628,530,6,37,3,7,4,6,8,A.Lazard,WR,126,NYJ,16,0.1571826502,,2,8,8,7,,A.Lazard,2,3
