"season","week","player_id","player_display_name","team","efficiency","percent_attempts_gte_eight_defenders","avg_time_to_los","expected_rush_yards","rush_yards_over_expected","rush_pct_over_expected","rush_attempts","rush_yards","rush_touchdowns","stat_type","avg_cushion","avg_separation","avg_intended_air_yards","percent_share_of_intended_air_yards","catch_percentage","avg_yac","avg_expected_yac","avg_yac_above_expectation","targets","receptions","yards","rec_touchdowns"
2024,1,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",6.27,2.71001309102635,10.9963636363636,53.6336629273267,36.3636363636364,4.2375,4.79827169286457,-0.560771692864574,11,4,29,0
2024,5,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",9.35833333333333,2.66264720451469,8.54166666666667,24.0904390335621,50,3.88666666666667,3.27757366339409,0.609093003272572,6,3,33,0
2024,6,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",2.935,1.10426601480172,7.8,33.4476843910806,100,1.994,1.12638040137881,0.867619598621188,5,5,41,2
2024,8,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",4.74333333333333,3.31037648140306,16.0314285714286,40.1272974325967,28.5714285714286,7.4,6.41593574916669,0.984064250833306,7,2,39,0
2024,9,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",7.122,2.96927065521551,13.327,37.9729883747436,40,1.2375,1.43563532907589,-0.198135329075894,10,4,36,0
2024,10,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",5.96333333333333,2.04097466731791,6.16333333333333,22.5419079548918,83.3333333333333,3.466,3.6220514760887,-0.156051476088699,6,5,44,0
2024,11,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",6.6875,3.16777507223495,7.99375,31.17231294175,50,2.92,3.71310793552368,-0.793107935523683,8,4,41,0
2024,12,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",5.93,2.36372068707865,7.98466666666667,34.4661870503597,60,3.87444444444444,4.02854439490264,-0.154099950458192,15,9,86,1
2024,13,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",5.22333333333333,2.43925188120356,13.1075,25.6720364295157,62.5,3.168,2.31715933973501,0.85084066026499,8,5,73,2
2024,14,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",6.688,3.96105015948341,7.242,25.1283830673144,60,3.88666666666667,8.76799736985231,-4.88133070318564,5,3,30,0
2024,15,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",8.39083333333333,3.88939827006672,11.5892307692308,62.0791956817339,46.1538461538462,4.015,4.40965954558675,-0.394659545586746,13,6,82,1
2024,16,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",7.36416666666667,3.62625606101991,10.8761538461538,41.0790551730149,69.2307692307692,6.24111111111111,5.56747837569755,0.673632735413566,13,9,141,1
2024,17,"00-0030279","Keenan Allen","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",4.12125,3.4311193517488,5.01875,24.2788897623511,62.5,3.656,3.86087130310029,-0.20487130310029,8,5,25,0
2024,16,"00-0030431","Robert Woods","HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",4.1475,4.44469978317982,12.1266666666667,17.7753890503994,50,5.35,7.21576906232838,-1.86576906232838,6,3,19,0
