"player_id","full_name","position","position_group","team","jersey_number","height","weight","years_exp","status","college","player_display_name.x","games","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr","passer_player_name","passing_epa_total","passing_epa_per_play","passing_plays","rusher_player_name","rushing_epa_total","rushing_epa_per_play","rushing_plays","receiver_player_name","receiving_epa_total","receiving_epa_per_play","receiving_plays","player_display_name.y","avg_time_to_throw","avg_completed_air_yards","avg_intended_air_yards.x","completion_percentage_above_expectation","aggressiveness","max_completed_air_distance","player_display_name.x.x","efficiency","percent_attempts_gte_eight_defenders","avg_time_to_los","expected_rush_yards","rush_yards_over_expected","rush_pct_over_expected","player_display_name.y.y","avg_cushion","avg_separation","avg_intended_air_yards.y","percent_share_of_intended_air_yards","catch_percentage","avg_yac","avg_expected_yac","avg_yac_above_expectation","fantasy_ppg","pass_ypg","rush_ypg","rec_ypg","total_tds","total_epa","ngs_avg_time_to_throw","ngs_avg_completed_air_yards","ngs_avg_intended_air_yards","ngs_completion_pct_above_expectation","ngs_aggressiveness","ngs_max_completed_air_distance","ngs_efficiency","ngs_pct_attempts_gte_eight_defenders","ngs_avg_time_to_los","ngs_expected_rush_yards","ngs_rush_yards_over_expected","ngs_rush_pct_above_expectation","ngs_avg_cushion","ngs_avg_separation","ngs_rec_avg_intended_air_yards","ngs_pct_share_intended_air_yards","ngs_catch_percentage","ngs_avg_yac","ngs_avg_expected_yac","ngs_avg_yac_above_expectation"
"00-0039041","Elijah Higgins","TE","TE","ARI",84,75,234,1,"ACT","Stanford","Elijah Higgins",14,0,0,0,0,0,0,0,0,20,24,172,2,49.2,NA,0,0,0,NA,0,0,0,"E.Higgins",11.94,0.597,20,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3.5,0,0,12.3,2,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039737","Tip Reiman","TE","TE","ARI",87,76,270,0,"ACT","Illinois","Tip Reiman",5,0,0,0,0,0,0,0,0,6,7,37,0,9.7,NA,0,0,0,NA,0,0,0,"T.Reiman",1.13,0.188,6,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1.9,0,0,7.4,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0036753","Sage Surratt","TE","TE","ARI",47,75,215,3,"CUT","Wake Forest",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0037020","Bernhard Seikovits","TE","TE","ARI",47,77,262,3,"DEV","No College",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038456","Travis Vokolek","TE","TE","ARI",81,78,260,1,"INA","Nebraska",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039849","Marvin Harrison Jr.","WR","WR","ARI",18,76,205,0,"ACT","Ohio State","Marvin Harrison",17,0,0,0,0,0,0,0,0,62,116,885,8,196.5,NA,0,0,0,NA,0,0,0,"M.Harrison",78.09,1.26,62,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,"Marvin Harrison",4.9075,2.04846611993342,13.5800862068966,42.6665041575255,53.448275862069,2.50290322580645,2.2813935365701,0.221509689236355,11.6,0,0,52.1,8,78.09,0,0,0,0,0,0,0,0,0,0,0,0,4.9075,2.04846611993342,13.5800862068966,42.6665041575255,53.448275862069,2.50290322580645,2.2813935365701,0.221509689236355
"00-0039849","Marvin Harrison Jr.","WR","WR","ARI",18,76,205,0,"ACT","Ohio State","Marvin Harrison",17,0,0,0,0,0,0,0,0,62,116,885,8,196.5,NA,0,0,0,NA,0,0,0,"M.Harrison",78.09,1.26,62,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,"Marvin Harrison Jr.",5.0085443001443,2.12174157192679,13.5205898989899,46.1105878742158,56.7604617604618,2.8838,2.75553736075153,0.128262639248473,11.6,0,0,52.1,8,78.09,0,0,0,0,0,0,0,0,0,0,0,0,5.0085443001443,2.12174157192679,13.5205898989899,46.1105878742158,56.7604617604618,2.8838,2.75553736075153,0.128262639248473
"00-0038559","Michael Wilson","WR","WR","ARI",14,74,209,1,"INA","Stanford","Michael Wilson",16,0,0,0,0,0,1,7,0,47,71,548,4,124.5,NA,0,0,0,"Mi.Wilson",-0.81,-0.814,1,"Mi.Wilson",41.35,0.88,47,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,"Michael Wilson",6.6100119047619,2.81412098770189,11.2978573943662,29.9658376747238,67.838139950816,3.34714273049645,2.83868207688342,0.508460653613039,7.8,0,0.4,34.2,4,40.54,0,0,0,0,0,0,0,0,0,0,0,0,6.6100119047619,2.81412098770189,11.2978573943662,29.9658376747238,67.838139950816,3.34714273049645,2.83868207688342,0.508460653613039
"00-0035500","Greg Dortch","WR","WR","ARI",4,67,173,5,"ACT","Wake Forest","Greg Dortch",17,0,0,0,0,0,5,31,0,37,50,342,3,90.3,NA,0,0,0,"G.Dortch",2.25,0.449,5,"G.Dortch",20.25,0.547,37,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,"Greg Dortch",6.8718005952381,3.45034872636338,6.96767083333333,16.7518155210436,64.75,7.10733108108108,4.88758503866597,2.21974604241511,5.3,0,1.8,20.1,3,22.5,0,0,0,0,0,0,0,0,0,0,0,0,6.8718005952381,3.45034872636338,6.96767083333333,16.7518155210436,64.75,7.10733108108108,4.88758503866597,2.21974604241511
"00-0033891","Zay Jones","WR","WR","ARI",17,74,200,7,"ACT","East Carolina","Zay Jones",6,0,0,0,0,0,0,0,0,8,11,84,0,16.4,NA,0,0,0,NA,0,0,0,"Z.Jones",6.26,0.783,8,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,"Zay Jones",8.445,3.3355631772267,11.514,25.6105698652075,80,1.5175,1.59976929946328,-0.0822692994632757,2.7,0,0,14,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,8.445,3.3355631772267,11.514,25.6105698652075,80,1.5175,1.59976929946328,-0.0822692994632757
