"player_id","player_name","season","games","passing_plays_total","passing_epa_total","passing_epa_avg","rushing_plays_total","rushing_epa_total","rushing_epa_avg","receiving_plays_total","receiving_epa_total","receiving_epa_avg","total_epa"
"00-0036972","M.Jones",2024,10,279,-5.32,-0.174,10,-0.33,0.162,0,0,NA,-5.65
"00-0036973","T.Etienne",2024,15,0,0,NA,150,-26.56,-0.163,52,7.38,0.128,-19.18
"00-0036980","E.Moore",2024,17,0,0,NA,1,-0.44,-0.44,102,32.65,0.415,32.21
"00-0036984","T.Sermon",2024,14,0,0,NA,56,-11.24,-0.203,19,-2.19,-0.105,-13.43
"00-0036988","J.Palmer",2024,15,0,0,NA,0,0,NA,67,49.23,0.747,49.23
"00-0036990","D.Deablo",2024,1,0,0,NA,0,0,NA,1,4.33,4.33,4.33
"00-0036997","J.Williams",2024,17,0,0,NA,139,-23.89,-0.241,70,7.11,0.087,-16.78
"00-0037004","H.Long",2024,7,0,0,NA,0,0,NA,9,3.28,0.317,3.28
"00-0037005","T.Tremble",2024,10,0,0,NA,0,0,NA,32,17.33,0.474,17.33
"00-0037012","T.Lance",2024,4,45,-14.42,-0.652,9,-3.09,-0.448,0,0,NA,-17.51
"00-0037077","S.Howell",2024,1,18,-15.57,-0.865,0,0,NA,0,0,NA,-15.57
"00-0037085","T.Badie",2024,3,0,0,NA,11,2,0.335,3,-5.94,-1.622,-3.94
"00-0037086","G.Calcaterra",2024,13,0,0,NA,0,0,NA,30,19.47,0.674,19.47
"00-0037091","B.Melton",2024,11,0,0,NA,8,1.02,0.071,17,8.13,0.45,9.15
"00-0037093","D.Young",2024,1,0,0,NA,0,0,NA,1,0,0,0
"00-0037120","T.Goodson",2024,9,0,0,NA,32,2.69,0.392,15,3.45,0.169,6.14
"00-0037132","B.Covey",2024,3,0,0,NA,0,0,NA,8,1.61,0.445,1.61
"00-0037156","I.Charles",2024,1,0,0,NA,0,0,NA,1,0,0,0
"00-0037197","I.Pacheco",2024,7,0,0,NA,83,-13.68,-0.196,16,0.21,0.196,-13.47
"00-0037207","M.Caliendo",2024,1,0,0,NA,0,0,NA,1,0.79,0.79,0.79
"00-0037216","J.Ross",2024,1,0,0,NA,0,0,NA,1,0,0,0
"00-0037228","J.Warren",2024,15,0,0,NA,120,-14.24,-0.148,47,7.98,0.14,-6.26
"00-0037231","K.Austin",2024,8,0,0,NA,1,0.84,0.84,22,13.63,0.756,14.47
"00-0037238","D.London",2024,17,0,0,NA,1,-2.37,-2.37,159,120.05,0.82,117.68
"00-0037239","C.Olave",2024,8,0,0,NA,1,0.88,0.88,44,26.98,-0.432,27.86
"00-0037240","J.Williams",2024,10,0,0,NA,8,1.27,0.145,55,51.14,0.967,52.41
"00-0037240","Ja.Williams",2024,5,0,0,NA,3,1.52,0.488,36,26.86,0.779,28.38
"00-0037243","T.Smith",2024,1,0,0,NA,0,0,NA,1,-0.99,-0.99,-0.99
"00-0037247","G.Pickens",2024,14,0,0,NA,2,-1.8,-0.9,103,71.73,0.718,69.93
"00-0037248","J.Cook",2024,16,0,0,NA,207,10.63,0.04,38,16.33,0.851,26.96
"00-0037252","G.Dulcich",2024,3,0,0,NA,0,0,NA,12,-1.66,-0.15,-1.66
"00-0037253","M.Jones",2024,2,0,0,NA,1,0.04,0.04,1,1.66,1.66,1.7
"00-0037256","R.White",2024,15,0,0,NA,144,-15.7,-0.057,57,16.78,0.168,1.08
"00-0037257","D.Bell",2024,1,0,0,NA,0,0,NA,3,3.21,1.07,3.21
"00-0037258","D.Pierce",2024,9,0,0,NA,40,7.08,-0.099,4,-0.91,-0.303,6.17
"00-0037261","K.Shakir",2024,15,0,0,NA,2,-0.98,-0.49,100,67.22,0.735,66.24
"00-0037263","T.Allgeier",2024,17,0,0,NA,138,5.47,0.046,13,3.44,0.339,8.91
"00-0037267","J.Ford",2024,14,0,0,NA,104,5.04,0.061,43,1.44,0.069,6.48
"00-0037276","T.Chandler",2024,10,1,-0.6,-0.6,56,-10.5,-0.157,6,2.1,0.249,-9
"00-0037287","V.Lowe",2024,1,0,0,NA,0,0,NA,1,1.43,1.43,1.43
"00-0037291","J.Nailor",2024,15,0,0,NA,3,-3.06,-1.02,42,39.94,1.023,36.88
"00-0037292","A.Ogletree",2024,11,0,0,NA,0,0,NA,14,8.87,0.614,8.87
"00-0037300","M.Woods",2024,5,0,0,NA,0,0,NA,17,3.87,0.089,3.87
"00-0037304","Co.Heyward",2024,5,0,0,NA,0,0,NA,9,2.57,0.084,2.57
"00-0037306","J.FitzPatrick",2024,1,0,0,NA,0,0,NA,1,-0.52,-0.52,-0.52
"00-0037324","C.Oladokun",2024,1,1,-1.39,-1.39,0,0,NA,0,0,NA,-1.39
"00-0037327","S.Thompson",2024,2,39,-15.51,-0.395,0,0,NA,0,0,NA,-15.51
"00-0037348","T.Conner",2024,2,0,0,NA,0,0,NA,4,-0.33,-0.082,-0.33
"00-0037382","B.Johnson",2024,1,0,0,NA,0,0,NA,1,0.7,0.7,0.7
"00-0037422","K.Pryor",2024,1,0,0,NA,0,0,NA,1,0.68,0.68,0.68
"00-0037429","R.Blackshear",2024,3,0,0,NA,15,-0.66,0.086,0,0,NA,-0.66
"00-0037450","T.McAllister",2024,1,0,0,NA,2,-0.02,-0.01,0,0,NA,-0.02
"00-0037475","S.Smartt",2024,7,0,0,NA,0,0,NA,19,10.02,0.773,10.02
"00-0037487","D.Thompkins",2024,4,0,0,NA,2,-0.15,-0.075,4,-0.12,0.153,-0.27
"00-0037509","S.McCormick",2024,4,0,0,NA,39,0.45,-0.06,7,-0.08,-0.032,0.37
"00-0037524","T.Martin",2024,1,0,0,NA,0,0,NA,2,6.02,3.01,6.02
"00-0037525","J.Mason",2024,12,0,0,NA,153,-5.43,-0.008,14,6.34,0.508,0.91
"00-0037539","L.Krull",2024,10,0,0,NA,0,0,NA,23,6.25,0.186,6.25
"00-0037545","R.Shaheed",2024,6,0,0,NA,6,1.17,0.092,41,27.15,0.759,28.32
"00-0037557","R.Rivers",2024,5,0,0,NA,22,2.95,0.498,6,0.79,-0.145,3.74
"00-0037569","P.Hendershot",2024,4,0,0,NA,0,0,NA,5,2.67,0.559,2.67
"00-0037578","J.Thomas",2024,1,0,0,NA,0,0,NA,1,-2.71,-2.71,-2.71
"00-0037594","J.Chestnut",2024,7,0,0,NA,22,-3.38,-0.126,3,-0.31,-0.103,-3.69
"00-0037609","A.Shampklin",2024,3,0,0,NA,6,-2.41,-0.566,0,0,NA,-2.41
"00-0037614","J.Metchie",2024,10,0,0,NA,0,0,NA,37,17.63,0.359,17.63
"00-0037617","H.Haskins",2024,11,0,0,NA,34,-3.69,-0.592,3,5.06,1.462,1.37
"00-0037654","T.Fisk",2024,7,0,0,NA,0,0,NA,8,1.11,0.149,1.11
