"player_id","player_name","position","team","week","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr"
"00-0033662","C.Rush","QB","DAL",17,15,28,147,1,2,1,2,0,0,0,0,0,6.08
"00-0033699","A.Ekeler","RB","WAS",18,0,0,0,0,0,3,12,0,2,2,20,0,5.2
"00-0033854","D.Ogunbowale","RB","HOU",18,0,0,0,0,0,2,-3,0,2,3,26,0,4.3
"00-0033857","J.Smith-Schuster","WR","KC",18,0,0,0,0,0,0,0,0,1,2,4,0,1.4
"00-0033858","J.Smith","TE","MIA",18,0,0,0,0,0,0,0,0,9,12,56,1,18.6
"00-0033869","M.Trubisky","QB","BUF",18,15,21,101,1,0,4,12,0,0,0,0,0,9.24
"00-0033873","P.Mahomes","QB","KC",17,29,38,320,3,0,1,12,0,0,0,0,0,26
"00-0033881","E.Engram","TE","JAX",14,0,0,0,0,0,0,0,0,4,6,33,0,7.3
"00-0033885","D.Njoku","TE","CLE",16,0,0,0,0,0,0,0,0,8,10,66,0,14.6
"00-0033891","Z.Jones","WR","ARI",18,0,0,0,0,0,0,0,0,4,5,46,0,8.6
"00-0033893","D.Cook","RB","DAL",9,0,0,0,0,0,2,8,0,0,0,0,0,0.8
"00-0033895","G.Everett","TE","CHI",17,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0033897","J.Mixon","RB","HOU",18,0,0,0,0,0,5,23,0,1,1,5,0,3.8
"00-0033906","A.Kamara","RB","NO",15,0,0,0,0,0,5,12,0,4,5,58,1,17
"00-0033908","C.Kupp","WR","LA",17,0,0,0,0,0,0,0,0,1,3,29,0,3.9
"00-0033921","C.Godwin","WR","TB",7,0,0,0,0,0,0,0,0,7,9,65,0,13.5
"00-0033923","K.Hunt","RB","KC",17,0,0,0,0,0,9,20,1,0,0,0,0,8
"00-0033925","D.Foreman","RB","CLE",18,0,0,0,0,0,10,27,0,1,1,8,0,4.5
"00-0033943","J.Reynolds","WR","JAX",18,0,0,0,0,0,0,0,0,1,3,11,0,2.1
"00-0033948","J.Williams","RB","NO",18,0,0,0,0,0,8,15,0,1,1,7,0,3.2
"00-0033949","J.Dobbs","QB","SF",18,29,43,326,2,2,8,17,1,0,0,0,0,22.74
"00-0033955","J.McNichols","RB","WAS",17,0,0,0,0,0,1,5,0,2,3,5,0,3
"00-0034054","R.Cracraft","WR","MIA",18,0,0,0,0,0,0,0,0,4,4,38,0,7.8
"00-0034073","R.Dwelley","TE","ATL",11,0,0,0,0,0,0,0,0,1,1,5,0,1.5
"00-0034115","J.Wilson","RB","MIA",18,0,0,0,0,0,2,-4,0,0,0,0,0,-0.4
"00-0034159","W.Dissly","TE","LAC",18,0,0,0,0,0,0,0,0,5,6,42,1,15.2
"00-0034177","T.Boyle","QB","NYG",15,12,24,123,1,1,1,-1,0,0,0,0,0,6.82
"00-0034184","G.Edwards","RB","LAC",16,0,0,0,0,0,14,68,2,1,2,3,0,20.1
"00-0034208","M.Boone","RB","CAR",18,0,0,0,0,0,4,18,0,1,1,-2,0,2.6
"00-0034270","T.Conklin","TE","NYJ",18,0,0,0,0,0,0,0,0,2,3,16,1,9.6
"00-0034272","M.Valdes-Scantling","WR","NO",18,0,0,0,0,0,0,0,0,3,8,33,0,6.3
"00-0034348","C.Sutton","WR","DEN",18,0,0,0,0,0,0,0,0,5,7,98,1,20.8
"00-0034351","D.Goedert","TE","PHI",18,0,0,0,0,0,0,0,0,4,6,55,0,9.5
"00-0034353","A.Miller","WR","BAL",17,0,0,0,0,0,0,0,0,1,1,16,0,2.6
"00-0034364","J.Akins","TE","CLE",18,0,0,0,0,0,0,0,0,6,8,60,1,18
"00-0034365","I.Thomas","TE","CAR",10,0,0,0,0,0,0,0,0,1,1,3,0,1.3
"00-0034383","D.Schultz","TE","HOU",18,0,0,0,0,0,0,0,0,3,3,29,0,5.9
"00-0034386","J.Watson","WR","KC",18,0,0,0,0,0,0,0,0,1,3,5,0,1.5
"00-0034401","M.White","QB","BUF",18,3,11,28,0,0,0,0,0,0,0,0,0,1.12
